contactRate,cancelSports,hybridClasses,closeFitness,tracebackDays,ctProtocol,fCompliance,sIsolationCTCompliance,sIsolationCompliance,sPhysicalDistancingCompliance,sMaskCompliance,parties,maskAllN95,dailyTests,studentFacingStaffTestingBoost,percVaccinated,cumulativeInfections,peakNumInfected,totDeath,percPeopleInfected
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,NONE,YES,100,1,0,255,171,3,0.085
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,NONE,YES,200,1,0,231,144,3,0.077
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,NONE,YES,100,5,0,271,158,3,0.090333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,NONE,YES,200,5,0,258,174,1,0.086
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,NONE,YES,100,1,0,240,161,7,0.08
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,NONE,YES,200,1,0,275,190,2,0.091666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,NONE,YES,100,5,0,275,190,3,0.091666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,NONE,YES,200,5,0,225,141,1,0.075
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,NONE,YES,100,1,0,220,173,4,0.073333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,NONE,YES,200,1,0,207,142,2,0.069
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,NONE,YES,100,5,0,209,157,3,0.069666667
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,NONE,YES,200,5,0,228,163,1,0.076
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,NONE,YES,100,1,0,221,167,3,0.073666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,NONE,YES,200,1,0,214,144,6,0.071333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,NONE,YES,100,5,0,231,168,3,0.077
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,NONE,YES,200,5,0,241,173,5,0.080333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,NONE,YES,100,1,0,264,181,5,0.088
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,NONE,YES,200,1,0,253,168,3,0.084333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,NONE,YES,100,5,0,232,152,2,0.077333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,NONE,YES,200,5,0,251,180,2,0.083666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,NONE,YES,100,1,0,204,139,1,0.068
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,NONE,YES,200,1,0,223,156,1,0.074333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,NONE,YES,100,5,0,211,136,3,0.070333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,NONE,YES,200,5,0,248,181,2,0.082666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,HIGH,NONE,YES,100,1,0,223,173,1,0.074333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,HIGH,NONE,YES,200,1,0,217,159,3,0.072333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,HIGH,NONE,YES,100,5,0,214,162,2,0.071333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,HIGH,NONE,YES,200,5,0,201,147,1,0.067
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,HIGH,NONE,YES,100,1,0,219,159,7,0.073
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,HIGH,NONE,YES,200,1,0,219,163,1,0.073
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,HIGH,NONE,YES,100,5,0,219,162,0,0.073
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,HIGH,NONE,YES,200,5,0,204,154,4,0.068
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,LOW,NONE,YES,100,1,0,239,174,0,0.079666667
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,LOW,NONE,YES,200,1,0,246,176,4,0.082
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,LOW,NONE,YES,100,5,0,237,164,5,0.079
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,LOW,NONE,YES,200,5,0,224,168,3,0.074666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,LOW,NONE,YES,100,1,0,217,135,1,0.072333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,LOW,NONE,YES,200,1,0,230,153,1,0.076666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,LOW,NONE,YES,100,5,0,235,157,3,0.078333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,LOW,NONE,YES,200,5,0,237,169,2,0.079
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,HIGH,NONE,YES,100,1,0,228,165,2,0.076
